mkl,gpu,integrated,external
0.97,0.25,0.52,1.00
4.55,0.80,1.42,2.71
5.96,1.76,1.57,3.19
5.22,3.28,1.00,2.43
5.97,3.76,0.91,2.92
3.51,0.18,0.57,1.02
5.11,0.72,2.79,8.02
4.17,1.23,5.58,15.31
4.26,1.59,6.16,17.85
3.67,2.34,6.82,18.01
3.95,2.88,7.22,18.31
4.06,3.32,7.48,18.17
3.86,0.17,0.56,1.11
5.73,0.70,2.95,8.29
4.32,1.18,5.69,16.71
4.54,1.60,6.45,19.62
3.91,2.27,7.00,20.18
4.04,2.80,7.29,20.32
4.18,3.32,7.50,20.55
1.53,1.27,1.66,1.87
1.39,1.16,1.47,1.60
0.99,0.87,1.00,1.11
2.65,2.09,2.05,2.16
2.31,1.70,1.80,1.78
1.00,0.97,1.01,1.15
1.02,0.99,0.97,1.00
1.02,0.98,0.97,0.99
1.02,0.99,0.97,0.99
1.17,1.01,0.88,1.14
1.17,0.99,0.87,1.14
1.17,1.00,0.86,1.12
1.15,0.86,1.00,1.00
2.39,1.46,1.51,1.54
2.83,2.22,2.27,2.88
2.06,1.26,1.27,1.29
1.16,0.82,1.09,1.06
1.84,1.35,1.52,1.50
0.93,0.00,0.00,0.86
1.00,0.02,0.04,1.00
3.90,0.29,1.13,1.98
