threads,samples,speedup,stdev
1,10,1.3925785986521242,0.02723752051393722
2,10,1.7940162303099498,0.09385633267601794
3,10,2.265980406007785,0.1325631987144992
4,10,2.9081774926690804,0.18789942871995297
5,10,3.087084356540785,0.2737452717699329
6,10,3.61826045693927,0.041911574187000096
7,10,3.7597584732404843,0.09590918307369
8,10,4.075234807597954,0.03436109955683459
9,10,4.172588878024275,0.04775084339289039
10,10,4.351085126286248,0.0514770263193633
11,10,4.370094423826749,0.12661511717679497
12,10,4.53715517577744,0.17958739468095097
13,10,4.072202134458637,0.32609411357841234
14,10,4.08597455989318,0.14811665280646397
15,10,4.13141298941235,0.15474460580164262
16,10,4.1693348870562925,0.17161526865329368
17,10,4.079559707056089,0.17552313998142222
18,10,4.011998102384958,0.17799442239416788
19,10,4.156629520737081,0.13817768302571667
20,10,4.169783411625489,0.16199455210594443
21,10,4.171802966975801,0.08100271691154699
22,10,4.116239966725369,0.17814745016806233
23,10,4.206170930432346,0.12017161687359078
24,10,4.1625440747436055,0.1693004776355037
25,10,4.186371573092362,0.14153958773039044
26,10,4.094246782740349,0.16623193973043232
27,10,4.154958640773231,0.19828341184645723
28,10,4.001264559640762,0.20098373368245295
29,10,4.044547051355629,0.19957735963582887
30,10,4.1108557893713495,0.1587570254225901
31,10,4.045004304759586,0.22777561331710383
32,10,4.151806196499184,0.18937351500575988
